Name,Attack Type,Frames,Is One Cut,Camera and Avatar Moving,Length in seconds,Source
StrongAttk3,vertical_up_2_down,80,one_cut,FALSE,1.333333,Captured
StrongAttk2,diagno_lowleft_2_upright,70,one_cut,FALSE,1.166667,Captured
StrongAttk1,vertical_up_2_down,66,one_cut,FALSE,1.1,Captured
StabInChest_Attempt,thrust,63,one_cut,FALSE,1.05,Captured
Sprint_StrongAttk,vertical_up_2_down,56,one_cut,FALSE,0.933333,Captured
Sprint_LightAttk,diagno_upleft_2_lowright,47,one_cut,FALSE,0.783333,Captured
MediumAttk3,thrust,65,one_cut,FALSE,1.083333,Captured
MediumAttk2,thrust,48,one_cut,FALSE,0.8,Captured
MediumAttk1,thrust,58,one_cut,FALSE,0.966667,Captured
LightAttk4,thrust,55,one_cut,FALSE,0.916667,Captured
LightAttk3,diagno_upleft_2_lowright,55,one_cut,FALSE,0.916667,Captured
LightAttk2,diagno_lowright_2_upleft,46,one_cut,FALSE,0.766667,Captured
LightAttk1,diagno_upleft_2_lowright,45,one_cut,FALSE,0.75,Captured
ChargeAttk,horizontal_left_2_right,112,one_cut,FALSE,1.866667,Captured
Longs_Attack_Thrust2,thrust,137,one_cut,FALSE,2.283333,Captured
Longs_Attack_Thrust,thrust,105,one_cut,FALSE,1.75,Captured
Longs_Attack_RU,diagno_lowright_2_upleft,121,one_cut,FALSE,2.016667,Captured
Longs_Attack_RD2,diagno_upright_2_lowleft,154,one_cut,FALSE,2.566667,Captured
Longs_Attack_RD,diagno_upright_2_lowleft,131,one_cut,FALSE,2.183333,Captured
Longs_Attack_R,horizontal_right_2_left,121,one_cut,FALSE,2.016667,Captured
Longs_Attack_DoubleRR,diagno_upright_2_lowleft,93,split,FALSE,1.55,Captured
Longs_Attack_DoubleRR,horizontal_right_2_left,51,split,FALSE,0.85,Captured
Longs_Attack_D2,vertical_up_2_down,143,one_cut,FALSE,2.383333,Captured
Longs_Attack_p_RLow,diagno_lowleft_2_upright,131,one_cut,FALSE,2.183333,Captured
Longs_Attack_p_RD2,diagno_upright_2_lowleft,164,one_cut,FALSE,2.733333,Captured
Longs_Attack_p_DoubleRL,horizontal_left_2_right,91,split,FALSE,1.516667,Captured
Longs_Attack_p_DoubleRL,horizontal_right_2_left,40,split,FALSE,0.666667,Captured
Longs_Attack_LD,diagno_upleft_2_lowright,112,one_cut,FALSE,1.866667,Captured
Longs_Attack_L3,horizontal_left_2_right,125,one_cut,FALSE,2.083333,Captured
Longs_Attack_L2,diagno_upleft_2_lowright,118,one_cut,FALSE,1.966667,Captured
Longs_Attack_L,horizontal_left_2_right,114,one_cut,FALSE,1.9,Captured
Longs_Attack_D,vertical_up_2_down,123,one_cut,FALSE,2.05,Captured
Longs_Attack_p_L,horizontal_left_2_right,121,one_cut,FALSE,2.016667,Captured
Longs_Attack_p_D,vertical_up_2_down,146,one_cut,FALSE,2.433333,Captured
Longs_Attack_p_RU,diagno_lowright_2_upleft,131,one_cut,FALSE,2.183333,Captured
Longs_Attack_p_LU,diagno_lowleft_2_upright,141,one_cut,FALSE,2.35,Captured
Longs_Attack_p_R,horizontal_right_2_left,105,one_cut,FALSE,1.75,Captured
Longs_Attack_p_LD,diagno_upleft_2_lowright,99,one_cut,FALSE,1.65,Captured
Longs_Attack_p_RD,diagno_upright_2_lowleft,131,one_cut,FALSE,2.183333,Captured
